"","2009"
"1",6.73475144012494
"2",-9.07088458085912
"3",-7.34978743236649
"4",-3.30466363460185
"5",0.487062354396585
"6",-11.4955462886001
"7",-1.12877238023517
"8",-1.63173541146697
"9",-3.59025390101938
"10",-11.8628297973266
"11",-10.3476895448184
"12",-1.15567811090329
"13",-5.26421964539341
"14",-6.40490269428467
"15",-1.45415642698392
"16",-6.36452596469156
"17",2.79739246056958
"18",-7.86634941664198
"19",-9.93840361700956
"20",11.3219452552333
"21",-1.72088775660505
"22",-0.591594124408884
"23",-9.48562344858023
"24",1.66424855626442
"25",8.92186741702394
"26",-1.55986521408354
"27",-1.50390175638233
"28",0.387636835871071
"29",-6.25995771150109
"30",14.9748077799259
"31",-5.88484265361529
"32",4.6916650851138
"33",-1.97856750629781
"34",-3.80439594402652
"35",-4.4432187672679
"36",-12.2388741563297
"37",6.1783416449548
"38",-1.99416936533389
"39",-6.87562909483809
"40",-4.65434307743296
"41",9.1955651640588
"42",-7.59498341208886
"43",11.7407655813624
"44",-6.98819007721857
"45",6.02503891203076
"46",11.3378967361725
"47",-7.0954894042815
"48",-8.34352742387588
"49",-7.38876885017364
"50",-16.6408514756747
"51",12.8940254007492
"52",1.01153294934541
"53",-11.4134609568727
"54",7.09563516073811
"55",0.482180909259915
"56",14.2645111265705
"57",-0.854619726189451
"58",-0.65722105315613
"59",3.01835322242433
"60",4.63441732449429
"61",3.46695631462861
"62",6.14945494321687
"63",-5.47878873910793
"64",-16.366959109756
"65",-3.62700697268691
"66",2.02232206923315
"67",-3.218611748069
"68",5.73274139971192
"69",-6.427478127955
"70",-22.4878536960238
"71",1.49856265863204
"72",-7.87348730789911
"73",-9.30279237206731
"74",-4.62380040844504
"75",-4.81378865783815
"76",0.307183665723441
"77",12.6478700135777
"78",-6.59974281223125
"79",-8.59125361181374
"80",-0.627860905647552
"81",-10.8153810388617
"82",-8.9847126772585
"83",-10.1102721353375
"84",9.77488687189741
"85",-0.522026227881309
"86",13.9681280612839
"87",6.27123068740096
"88",-4.6796570064304
"89",-12.9968150854012
"90",-2.88614243125618
"91",20.9783080024159
"92",11.140184660359
"93",2.0882076301173
"94",0.568785923442737
"95",1.00400792504695
"96",-14.87948721431
"97",-5.39531083992657
"98",-6.5056326038079
"99",3.49136534710779
"100",-4.71459613430809
"101",7.4764425951597
"102",9.31029383420283
"103",-5.9049748930382
"104",7.74161855487578
"105",-1.50571132119845
"106",-8.60501474819329
"107",-5.30646333532235
"108",-10.3331898735533
"109",-1.46028637944541
"110",-5.16824312069758
"111",1.02338084124985
"112",3.3009904677278
"113",-5.41242617089884
"114",7.15386217019902
"115",3.44841841433821
"116",6.795913502156
"117",13.2962346294452
"118",-13.2102834543265
"119",6.87173077159229
"120",-5.71877402092714
"121",-3.15651380858689
"122",11.641960275548
"123",14.2483890255559
"124",1.69580500954559
"125",-3.91889679535773
"126",17.2617471718133
"127",9.13900159678412
"128",3.30065302981981
"129",2.8860593082433
"130",-6.39745914856629
"131",10.1984351993207
"132",9.36493429875904
"133",-0.758868710006872
"134",9.59304370144133
"135",11.9728113398282
"136",-1.8891223369234
"137",-9.6129014965266
"138",-1.7677071021673
"139",-5.38363831060998
"140",6.73048090803398
"141",10.4616310988691
"142",-4.15368197950663
"143",12.8394423231886
"144",-1.93683994235754
"145",-4.97614611247991
"146",-11.4179186554219
"147",-6.32419275805779
"148",5.07843018327871
"149",-3.85393603147694
"150",-1.44375034047493
"151",1.2074482903446
"152",12.3433868840836
"153",-7.18191457917507
"154",-1.59148486699403
"155",6.61123539753759
"156",-2.07512580409238
"157",19.2450317164011
"158",-3.77135864858364
"159",1.88256979603247
"160",-9.58701030182473
"161",15.6150452671288
"162",2.61266256208064
"163",3.08745372727955
"164",-2.59692364606923
"165",-12.3777859066294
"166",0.915732503151422
"167",14.5080270998184
"168",-10.2022880279653
"169",-0.391209576524905
"170",-7.74431091354541
"171",2.31752882264963
"172",1.21216862705178
"173",-3.94658608727627
"174",-0.919024636723371
"175",-5.16126713046519
"176",-5.78463035887983
"177",-9.4608701397988
"178",-5.50942481110884
"179",5.42187981025528
"180",6.20105793067097
"181",9.2308045001718
"182",-9.07844887596088
"183",-3.31838913206754
"184",11.4348950705505
"185",-3.76102935824243
"186",7.74389040942937
"187",3.0415695725041
"188",-4.31215033359661
"189",-1.12159039694116
"190",-8.84549171184374
"191",2.06226750284191
"192",5.72205951264112
"193",1.95319849859572
"194",-0.40993803853668
"195",5.13397398336674
"196",5.44516914569868
"197",-6.12678908586648
"198",2.51678255520242
"199",-3.80758723152011
"200",0.696808893982734
"201",-15.114961284589
"202",3.27245239390389
"203",-0.508218407552658
"204",-11.7529865060404
"205",-6.20683543271664
"206",2.35143619511862
"207",9.8743378100565
"208",-3.98682418947856
"209",-4.28966442599856
"210",-7.07970113798094
"211",-5.70189183133706
"212",1.42289258605861
"213",5.53890819337603
"214",0.452239756696058
"215",-3.18226810099261
"216",16.9827249575352
"217",3.37292515069032
"218",9.84994149520491
"219",4.08741610154848
"220",14.8922359226345
"221",-2.29836300878651
"222",21.1660106443455
"223",-5.9057959631344
"224",-1.61248465788598
"225",2.82391402220886
"226",3.88496906278883
"227",5.24589122468398
"228",-13.0158014110026
"229",-10.2530576035475
"230",3.10863093838901
