"","2007","2008","2009"
"1",0,0,18.3084965172137
"2",0,2.96161486654543,31.3518442844098
"3",6.74964377868759,2.96161486654543,31.3518442844098
"4",6.74964377868759,10.2754682844497,36.6135791641427
"5",6.74964377868759,10.2754682844497,45.3563075648027
"6",19.8686094443717,26.1960850354544,51.034600105513
"7",19.8686094443717,29.9255308973894,51.034600105513
"8",19.8686094443717,29.9255308973894,51.034600105513
"9",19.8686094443717,37.1682960045601,51.034600105513
"10",23.0349033399799,41.455086023828,51.034600105513
"11",23.0349033399799,47.6362066087087,55.0313869813047
"12",25.9366702004365,58.0225742416051,64.7291806012571
"13",25.9366702004365,76.6232965087959,75.093280217179
"14",25.9366702004365,84.1701785112509,82.1729005151143
"15",41.5397528971068,84.1701785112509,96.3033586760334
"16",41.5397528971068,84.1701785112509,102.094384449784
"17",43.9328342110794,90.7736240452249,105.000629484842
"18",50.1910336789318,96.3651226360071,105.000629484842
"19",59.238805715164,100.157787088889,107.625305584527
"20",59.238805715164,112.960127387245,107.625305584527
"21",67.411809591222,115.177994938837,107.625305584527
"22",79.7695553757584,120.686302451832,107.625305584527
"23",79.7695553757584,131.743542536471,119.149411196228
"24",90.8366141503815,131.743542536471,123.150012687906
"25",90.8366141503815,145.196030613153,127.20333607947
"26",100.114643654544,150.092595929269,135.319016009986
"27",103.178094439268,150.092595929269,135.319016009986
"28",103.178094439268,154.444402465604,135.319016009986
"29",103.178094439268,158.631392956519,135.319016009986
"30",114.089816650619,158.631392956519,138.965769203606
"31",114.089816650619,161.811054237088,155.807042882216
"32",116.451345710312,161.811054237088,160.476980469504
"33",123.686922274594,161.811054237088,160.476980469504
"34",136.003792172853,161.811054237088,162.782741640155
"35",151.781957747433,161.811054237088,178.230131937027
"36",151.781957747433,164.730498388087,186.810898505278
"37",151.781957747433,170.726511783396,186.810898505278
"38",151.781957747433,175.600636284525,186.810898505278
"39",163.366136890509,180.057001229219,196.131624736064
"40",173.145203714736,198.34221851056,202.684560173882
"41",173.145203714736,212.720092598086,202.684560173882
"42",177.326000932764,220.061185755999,212.727260090819
"43",187.466024600549,220.061185755999,212.727260090819
"44",187.466024600549,225.493971608157,221.901685627829
"45",202.301224899784,225.493971608157,224.249891934186
"46",202.301224899784,245.156576182028,226.96058219259
"47",219.377757440254,245.156576182028,226.96058219259
"48",223.222945495909,247.609087355654,230.2153581848
"49",223.222945495909,247.609087355654,232.835542615886
"50",241.624239058765,256.267205473775,232.835542615886
"51",253.958865529458,267.550754726119,244.268313895708
"52",253.958865529458,281.721609633419,251.058030054952
"53",253.958865529458,281.721609633419,256.902121834059
"54",258.64943632092,300.824715403035,256.902121834059
"55",266.574938217358,305.2529003791,272.299533830698
"56",270.654423549664,325.062087974555,280.165073254256
"57",272.884891557801,331.119927795444,305.869104180754
"58",275.973498768028,346.695652396445,308.835185942683
"59",278.512906823163,346.695652396445,308.835185942683
"60",293.534032340532,346.695652396445,327.44374044037
"61",293.534032340532,346.695652396445,336.578198445673
"62",293.534032340532,367.415606922482,340.938319786597
"63",293.534032340532,388.173488984597,346.931991210206
"64",293.534032340532,391.517178934264,358.402563177754
"65",293.534032340532,400.711408626571,382.058646724469
"66",293.534032340532,407.535374631023,388.572409937631
"67",313.988640798555,420.285584905899,393.263626044339
"68",321.623094158334,422.764035168094,395.893430520437
"69",321.623094158334,426.497613389663,408.350855477311
"70",321.623094158334,426.497613389663,411.435497999906
"71",327.688486910392,436.146503217081,411.435497999906
"72",336.25584848144,436.146503217081,424.109817270467
"73",336.25584848144,444.584881561024,429.765253443221
"74",336.25584848144,450.279169725559,433.380981049024
"75",336.25584848144,450.279169725559,438.477473852885
