"","2015","2014"
"1",10.9990165366645,24.6486786303951
"2",14.2514549262759,51.106078103866
"3",39.0799419124868,64.7098086628435
"4",47.1268653110808,68.7788029405004
"5",47.1268653110808,85.1252553057695
"6",64.2327006862647,110.856298408129
"7",71.0649366038496,114.151068056586
"8",74.1246290489856,123.157750213063
"9",88.7340616123775,144.326514222048
"10",88.7340616123775,170.428842158789
"11",104.733045691691,176.048234166694
"12",124.747816821373,185.390019668672
"13",127.150510725465,193.842744299756
"14",130.233097446569,210.15686082451
"15",133.550102146776,214.249619881313
"16",143.955448252185,223.564753280931
"17",146.188319739946,237.404061369163
"18",152.063689988888,244.409721381825
"19",159.090102825989,253.476592707869
"20",178.412985591721,255.926082927852
"21",187.346096517306,258.649995871185
"22",192.760663980203,267.582581054441
"23",196.660192204568,285.619632568628
"24",205.902041418463,302.274452035976
"25",214.159767556645,324.016165609123
"26",214.159767556645,324.016165609123
"27",214.159767556645,324.016165609123
"28",233.457529719061,327.656789439403
"29",237.007560493985,327.656789439403
"30",239.562392484825,346.113307258203
"31",242.910621589139,361.321935766173
"32",247.373251212726,370.615350186357
"33",254.678937659565,389.339951374718
"34",281.403172673335,389.339951374718
"35",288.047210648467,392.11135973132
"36",301.370185089408,392.11135973132
"37",306.794643137854,413.761268213868
"38",312.402898915181,429.117018663731
"39",339.199480207983,449.260664095389
"40",365.48377093642,449.260664095389
"41",369.363315323225,451.5423883686
"42",393.608095426691,461.951352377306
"43",404.57770528651,461.951352377306
"44",417.875862785963,467.228341477888
"45",429.837974665894,473.205019469798
"46",433.381425652605,481.306686466671
"47",440.396937979825,486.770435851418
"48",444.549204494602,489.244642724536
"49",447.570735020482,503.453781396656
"50",450.30905659203,506.444501141548
"51",450.30905659203,526.983979593928
"52",450.30905659203,545.245835704332
"53",455.244207099141,567.694463664432
"54",457.73374943861,577.550740929158
"55",466.268468631005,580.062499279654
"56",470.946432265181,593.328538571522
"57",482.680688257411,593.328538571522
"58",496.204886082231,606.285705944079
"59",503.817145661534,609.163054628583
"60",503.817145661534,612.673208541453
"61",510.259514610909,618.58974042529
"62",517.751614011635,639.212624641934
"63",522.373790137314,654.286283868694
"64",532.856352615035,662.032440778788
"65",542.529892986839,683.357268758841
"66",545.909624659278,700.550282795511
"67",559.842443275013,703.460146028447
"68",563.41813444425,720.061836161001
"69",563.41813444425,735.422756636289
"70",577.252570031429,738.360782541443
"71",586.367582540496,757.441557593623
"72",586.367582540496,765.883046945979
"73",592.15926903051,785.783963343187
"74",598.924084339744,801.921855867596
"75",605.290855321499,818.969417052474
"76",620.266439931775,822.879956913187
"77",624.850891124965,839.455022743581
"78",630.560294939978,846.651684314102
"79",633.756762410859,855.055482675334
"80",643.449674998838,872.274354091557
"81",647.090350299709,891.237258449867
"82",662.185279612565,904.364117268883
"83",672.007726368371,904.364117268883
"84",690.140673840871,911.404960527447
"85",690.140673840871,926.120011796421
"86",690.140673840871,926.120011796421
"87",700.536586768759,928.967788642137
"88",714.137867802639,941.679928586865
"89",723.89587155667,948.677935519795
"90",728.39162346807,965.086936673286
"91",735.777653588111,976.136128909211
"92",738.857832586391,1000.34812018698
"93",762.529015720341,1017.73443286902
"94",762.529015720341,1022.85095558899
"95",773.314927663581,1045.46509326968
"96",795.268474839079,1062.98301951833
"97",795.268474839079,1080.70894059231
"98",813.283748736212,1093.58044885883
"99",832.878917759681,1114.0068644517
"100",846.860274241388,1139.27289742637
"101",861.358793105578,1146.55142600757
"102",877.430690983771,1150.69588932599
"103",880.802667730758,1177.35691319586
"104",901.581180896131,1180.29279412841
"105",921.194749791364,1202.23416183526
"106",941.781220274093,1202.23416183526
"107",947.87842977995,1227.30516730944
"108",950.967892835187,1238.11981354202
"109",960.386731946568,1257.0205434772
"110",963.478906308404,1259.65295436144
"111",987.830065929283,1259.65295436144
"112",993.435931435168,1273.16526319066
"113",1001.89665253968,1276.50287795257
"114",1029.62891660812,1285.20408392817
"115",1051.42455064899,1299.81348535196
"116",1055.80831210728,1322.52172211721
"117",1079.81520844743,1326.48047022052
"118",1094.79445846456,1352.84321041261
"119",1119.62099971526,1352.84321041261
"120",1138.56309099373,1373.05926275759
"121",1162.66852192381,1386.78540914037
"122",1180.07145885261,1394.21872741073
"123",1196.4441140309,1402.5139164415
"124",1220.72239175489,1412.92847026712
"125",1226.57778707661,1437.80249870253
"126",1243.78377270447,1463.04821444549
"127",1267.3984788436,1487.36449680138
"128",1280.37389423476,1495.00440676358
"129",1287.00520442622,1520.1746466161
"130",1303.82082193663,1520.1746466161
"131",1313.93474095347,1537.10169177802
"132",1338.91951694572,1556.68496475156
"133",1358.40658033523,1560.61339397892
"134",1370.7601161894,1581.36136602379
"135",1375.00821745575,1594.60053156863
"136",1381.63625593078,1606.90603255239
"137",1396.41299635259,1613.32092426349
"138",1422.41432197722,1619.05021191671
"139",1448.31660364303,1646.9393110801
"140",1462.97287453149,1674.07869034532
"141",1465.43496884401,1684.1130630545
"142",1475.54927290276,1688.39845003115
"143",1484.92877522428,1692.67049750274
"144",1505.41384036139,1716.8282820245
"145",1511.86748357343,1723.23788577453
"146",1514.36929560485,1738.74489663782
"147",1519.00303734327,1741.04400929313
"148",1542.39503767391,1761.04542054852
"149",1562.02975700296,1783.71176541532
"150",1580.00294694889,1802.30885948773
"151",1604.21225220458,1805.02149442757
"152",1616.60512922128,1817.453331471
"153",1635.74259507352,1838.82553517727
"154",1635.74259507352,1852.80838681517
"155",1655.27239339229,1879.50941285181
"156",1675.10196236834,1884.72604827267
"157",1678.67509189942,1905.63062531465
"158",1681.27242217975,1919.96386881785
"159",1689.72062540391,1939.04203286907
"160",1706.3590319881,1957.25401090459
"161",1718.21293759458,1971.75586340327
"162",1726.01394434217,1990.36908063943
"163",1726.01394434217,2002.42889852838
"164",1751.15217213852,2008.02784924158
"165",1762.35562442834,2019.96211157874
"166",1777.78090654908,2029.35080082682
"167",1793.45219256271,2049.31343833318
"168",1816.49473245439,2061.26258889067
"169",1816.49473245439,2065.09277590709
"170",1841.61415849741,2089.70316970137
"171",1849.51360012447,2094.93014191258
"172",1858.56827256429,2097.79067128047
"173",1883.08518305903,2115.40107538286
"174",1883.08518305903,2128.30106251616
