"","2015"
"1",18.9258041008378
"2",18.9258041008378
"3",18.9258041008378
"4",24.8468138063632
"5",24.8468138063632
"6",34.4999249180489
"7",37.1916150612716
"8",37.1916150612716
"9",46.8073097293266
"10",50.3030173458121
"11",50.3030173458121
"12",55.3382524738783
"13",55.3382524738783
"14",55.3382524738783
"15",55.3382524738783
"16",62.633581728843
"17",68.2040391926745
"18",71.8894832214242
"19",71.8894832214242
"20",81.5116259598688
"21",81.5116259598688
"22",81.5116259598688
"23",81.5116259598688
"24",84.3542377049844
"25",84.3542377049844
"26",105.296096894733
"27",105.296096894733
"28",105.296096894733
"29",109.011942771784
"30",118.569938685082
"31",118.569938685082
"32",118.569938685082
"33",118.569938685082
"34",123.960426275497
"35",129.454761297229
"36",129.454761297229
"37",136.271737906731
"38",139.342076829184
"39",139.342076829184
"40",147.697831704876
"41",147.697831704876
"42",154.609875571406
"43",158.455083290734
"44",158.455083290734
"45",166.320184388509
"46",174.680807414626
"47",174.680807414626
"48",178.159142628474
"49",181.72793594977
"50",181.72793594977
"51",184.483265616915
"52",186.725882030175
"53",186.725882030175
"54",190.948467546581
"55",197.216834245667
"56",200.164298905376
"57",207.527881499247
"58",211.552693750145
"59",225.097946430329
"60",227.644657470915
"61",231.205300569843
"62",234.396175483551
"63",237.423240702835
"64",242.163782330354
"65",242.163782330354
"66",253.023228532471
"67",256.222956891697
"68",279.18694518847
"69",302.248119087071
"70",305.819571434829
"71",309.790600109938
"72",323.404121802866
"73",323.404121802866
"74",323.404121802866
"75",335.096421466936
"76",338.072054045813
"77",352.384307853975
"78",352.384307853975
"79",372.598677570299
"80",375.447419133691
"81",375.447419133691
"82",397.318676925994
"83",397.318676925994
"84",397.318676925994
"85",397.318676925994
"86",412.614660557632
"87",432.513056220647
"88",443.749799941305
"89",443.749799941305
"90",456.372579919382
"91",459.651178887452
"92",465.902752808119
"93",465.902752808119
"94",465.902752808119
"95",481.625685416835
"96",481.625685416835
"97",487.35647864817
"98",487.35647864817
"99",512.656867139016
"100",515.167807073599
"101",519.056244168416
"102",519.056244168416
"103",519.056244168416
"104",521.731428562234
"105",524.852118534486
"106",527.559905364039
"107",538.102910329268
"108",540.464792125966
"109",559.112919314905
"110",559.112919314905
"111",568.684730436133
"112",573.678846549087
"113",581.589748524515
"114",581.589748524515
"115",584.422630869673
"116",584.422630869673
"117",584.422630869673
"118",591.669599610977
"119",594.631859718449
"120",594.631859718449
"121",594.631859718449
"122",606.317359860418
"123",610.853087617712
"124",624.303650872421
"125",632.345674224169
"126",632.345674224169
"127",635.042709332959
"128",638.6690698305
"129",646.347758023872
"130",650.414237126048
"131",655.271499586173
"132",660.435395958165
"133",667.746177890092
"134",667.746177890092
"135",667.746177890092
"136",676.252061543907
"137",678.608294401186
"138",681.764618445487
"139",692.538215702339
"140",698.32573894053
"141",698.32573894053
"142",698.32573894053
"143",701.288699442281
"144",706.896746845448
"145",706.896746845448
"146",709.815835840568
"147",714.2583994102
"148",722.072877002742
"149",747.841937490316
"150",747.841937490316
"151",754.145538991492
"152",765.125207438149
"153",768.443219430843
"154",788.248026438388
"155",788.248026438388
"156",788.248026438388
"157",799.585936694143
"158",805.283383811168
"159",821.339284039495
"160",821.339284039495
"161",821.339284039495
"162",821.339284039495
"163",821.339284039495
"164",845.01707348924
"165",860.631113798973
"166",866.381062857091
"167",875.792955182099
"168",884.222314419781
"169",888.789722098804
"170",891.114488372617
"171",891.114488372617
"172",891.114488372617
"173",901.007192042956
"174",923.923621305249
"175",930.737838991325
"176",940.442984805559
"177",946.540471042533
"178",950.0893912579
"179",950.0893912579
"180",950.0893912579
"181",964.931303820996
"182",969.249291555606
"183",969.249291555606
"184",978.075919061536
"185",985.965006911202
"186",990.458563127196
"187",993.274067681425
"188",995.581360513764
"189",998.846313715038
"190",1018.59699611969
"191",1021.3746757389
"192",1021.3746757389
"193",1023.83437703637
"194",1033.41127196115
"195",1041.01181004038
"196",1041.01181004038
"197",1041.01181004038
"198",1046.44950656926
"199",1050.60711706331
"200",1056.70339029594
"201",1077.61121245167
"202",1087.54254517382
"203",1087.54254517382
"204",1095.05581364311
"205",1102.00832089774
"206",1102.00832089774
"207",1102.00832089774
"208",1102.00832089774
"209",1118.53095447192
"210",1118.53095447192
"211",1118.53095447192
"212",1118.53095447192
"213",1132.12714837931
"214",1132.12714837931
"215",1146.36457508246
"216",1169.1241746492
"217",1169.1241746492
"218",1185.1852091406
"219",1198.74457850743
"220",1198.74457850743
"221",1201.6211168551
"222",1201.6211168551
"223",1201.6211168551
"224",1223.91968309485
"225",1223.91968309485
"226",1228.74667266945
"227",1232.50579726362
"228",1232.50579726362
"229",1250.76940922115
"230",1268.98396555396
