"","2007","2009","2008"
"1",2.2189157734199,0,7.04278705351066
"2",13.0398161301905,0,9.52120254106351
"3",19.5136255669118,0,9.52120254106351
"4",26.5144027759644,3.76659207013665,11.8272337374758
"5",26.5144027759644,3.76659207013665,14.9406211535336
"6",32.7475534166554,3.76659207013665,29.8727097283392
"7",48.0806928684479,3.76659207013665,39.3399944956775
"8",48.0806928684479,8.43852870824991,39.3399944956775
"9",48.0806928684479,11.9951391629971,39.3399944956775
"10",58.4900359583216,14.5916561519364,39.3399944956775
"11",67.1723374060102,23.1708826150314,39.3399944956775
"12",69.6995541370245,23.1708826150314,49.4997006536865
"13",69.6995541370245,27.9010471857976,49.4997006536865
"14",69.6995541370245,33.6447713945723,49.4997006536865
"15",69.6995541370245,33.6447713945723,49.4997006536865
"16",86.8478850863441,33.6447713945723,49.4997006536865
"17",86.8478850863441,33.6447713945723,49.4997006536865
"18",86.8478850863441,33.6447713945723,55.1816914008316
"19",86.8478850863441,33.6447713945723,67.1857498123344
"20",92.2567823460379,39.3327867044624,86.0849071952485
"21",104.654056417591,47.1977780361436,89.9311322587542
"22",108.64394072123,47.1977780361436,93.20346947991
"23",113.243693335229,50.7162232143917,98.3889378008086
"24",119.452652295321,64.3117372854133,101.566187650518
"25",123.143278851891,67.1397593451569,107.308449418374
"26",123.143278851891,74.2142081783401,110.407438527422
"27",125.653733189264,74.2142081783401,110.407438527422
"28",125.653733189264,74.2142081783401,113.709930412534
"29",148.696776475772,74.2142081783401,122.116595665675
"30",158.097004269794,78.0180426917656,126.295945155605
"31",161.284461956326,78.0180426917656,131.539992581182
"32",161.284461956326,86.4313810473443,137.602532530491
"33",166.19222997158,90.2520861146892,137.602532530491
"34",166.19222997158,96.1635163665218,137.602532530491
"35",169.067697183719,96.1635163665218,137.602532530491
"36",176.408530869164,98.9186610633663,137.602532530491
"37",176.408530869164,107.907980326024,137.602532530491
"38",176.408530869164,107.907980326024,137.602532530491
"39",176.408530869164,112.170780981125,143.54344255631
"40",179.773510494135,112.170780981125,143.54344255631
"41",179.773510494135,112.170780981125,150.381314975687
"42",182.259516017573,116.588300927752,156.299652216954
"43",182.259516017573,134.774906615302,156.299652216954
"44",185.407020278117,134.774906615302,160.247021593974
"45",185.407020278117,134.774906615302,160.247021593974
"46",185.407020278117,134.774906615302,160.247021593974
"47",192.903373265931,137.488639837029,163.168397511112
"48",196.032336987761,137.488639837029,163.168397511112
"49",201.084930098089,143.666168381423,168.59426757499
"50",201.084930098089,143.666168381423,168.59426757499
"51",204.207407265676,155.278367023808,183.665074643219
"52",204.207407265676,155.278367023808,198.699671875417
"53",204.207407265676,163.201301898472,215.295746663427
"54",214.317258159589,170.82944395758,215.295746663427
"55",214.317258159589,170.82944395758,222.637574452474
"56",214.317258159589,173.050745228226,233.63619098003
"57",214.317258159589,175.999865517868,233.63619098003
"58",214.317258159589,175.999865517868,239.066677570818
"59",219.412126175793,184.754862428122,242.633752658668
"60",221.998748173204,186.987527771442,253.47559338424
"61",228.112768440742,186.987527771442,253.47559338424
"62",228.112768440742,191.88585395688,253.47559338424
"63",228.112768440742,191.88585395688,253.47559338424
"64",230.992328680889,198.916991033535,259.972473364412
"65",230.992328680889,207.530526100364,263.32044868785
"66",239.658830698845,214.425542979354,267.123605502258
"67",239.658830698845,217.473100656981,267.123605502258
"68",239.658830698845,217.473100656981,272.239163565192
"69",248.35854660506,222.75513676701,272.239163565192
"70",248.35854660506,240.591984341577,274.66574955678
"71",248.35854660506,245.240829028068,274.66574955678
"72",248.35854660506,245.240829028068,277.9291500596
"73",255.136779681859,251.122339335518,280.653073425911
"74",266.073753051452,251.122339335518,287.532513396689
"75",266.073753051452,258.504050698076,293.199124062238
"76",273.059737034194,258.504050698076,293.199124062238
"77",273.059737034194,258.504050698076,293.199124062238
"78",282.871144265267,268.097020946483,293.199124062238
"79",282.871144265267,273.531066133704,300.861100578428
"80",294.796700266281,273.531066133704,300.861100578428
"81",298.244284208275,286.143976165821,304.349626446156
"82",298.244284208275,288.642383612431,304.349626446156
"83",309.549389087406,294.023950733291,310.462359705921
"84",316.25484314166,294.023950733291,314.270930814464
"85",316.25484314166,309.424629244197,314.270930814464
"86",323.630295978929,312.403768792638,321.865544822112
"87",323.630295978929,324.254506887278,321.865544822112
"88",323.630295978929,324.254506887278,341.327124292645
"89",323.630295978929,324.254506887278,345.472327249035
"90",332.101858798542,327.386985440496,347.779492380676
"91",353.491511035997,327.386985440496,350.602895469135
"92",370.07655137518,349.222298608167,350.602895469135
"93",370.07655137518,351.939530431192,361.189231227746
"94",387.434529925371,351.939530431192,377.600324571927
"95",406.595953020109,356.314174003147,380.649137364778
"96",406.595953020109,356.314174003147,380.649137364778
"97",413.05720791902,374.927159569013,380.649137364778
"98",413.05720791902,377.306046716448,389.022525143716
"99",413.05720791902,381.651979378441,410.39903063391
"100",417.211353475115,387.680839461932,426.017306992786
"101",427.90013389673,395.971343223019,434.393196872869
"102",430.589699362535,395.971343223019,442.348076414143
"103",433.598671010815,399.63751895389,448.372303489941
"104",442.5898622083,422.321893142529,454.621846468412
"105",449.716333460075,426.579186554487,457.787005912004
"106",452.560564502442,436.035518000654,462.503683182211
"107",476.165614683114,438.572044060299,462.503683182211
"108",484.181005337173,442.573879727439,470.126385145132
"109",484.181005337173,454.244244635223,486.066795183577
"110",488.779063427206,458.514026940751,490.196506864152
"111",499.862008762782,463.300400666336,505.107032442821
"112",499.862008762782,475.751559430477,505.107032442821
"113",506.798432242151,488.728389390889,507.801192644651
"114",516.705756290493,515.324245503821,514.781350549072
"115",516.705756290493,515.324245503821,520.033252535073
"116",533.745820188896,515.324245503821,520.033252535073
"117",539.680764459496,515.324245503821,532.864727424989
"118",542.98616135098,525.104960534249,538.475851660048
"119",553.312584706356,533.427729857544,538.475851660048
"120",553.312584706356,540.425106164821,541.013664136673
"121",557.803364353284,546.266914602573,548.21819228898
"122",561.093089397883,562.878140607468,559.445698600101
"123",565.745582705992,586.814610405338,559.445698600101
"124",565.745582705992,591.674113640791,573.653924208118
"125",565.745582705992,593.904852723346,585.184931119056
"126",570.702948288119,617.647292679444,609.415719839858
"127",573.265151039911,617.647292679444,612.7611164237
"128",573.265151039911,629.201597231061,612.7611164237
"129",593.318431129849,646.276149090259,640.543414826276
"130",614.48034207616,656.52431210818,643.277245983834
"131",624.555599227149,664.357852285606,643.277245983834
"132",624.555599227149,670.878995324274,646.56340920356
"133",624.555599227149,670.878995324274,649.660721809913
"134",630.065790997091,676.574447841322,649.660721809913
