"","2015","2016"
"1",8.39351892395655,26.8562684086886
"2",14.0099750695401,52.0552098245805
"3",22.2262835062936,72.2306119694685
"4",22.2262835062936,94.5097516556253
"5",44.781005171027,116.763897420243
"6",51.5556860706773,136.661296989215
"7",69.1366234391259,163.267675296995
"8",92.535457755469,165.804814270646
"9",116.737042243426,178.739493237543
"10",124.455051032587,181.900029850425
"11",140.812323964638,185.095961225645
"12",146.790261539945,187.728385903569
"13",165.918243219169,201.297639763484
"14",182.404508224904,217.073693086283
"15",209.588098389843,240.070588821694
"16",217.67202518103,260.103988006794
"17",226.416074851767,286.792696564829
"18",249.09108717789,308.003801677909
"19",276.253744415326,322.242304416792
"20",281.715669321403,347.598615434081
"21",309.145464607105,366.221610758652
"22",313.08395781229,377.607499791613
"23",338.07730599935,390.631357793679
"24",357.225952167449,402.129822766611
"25",374.898266048072,416.002744747551
"26",401.472384155185,421.729803379637
"27",411.140790072123,431.000324982936
"28",428.831634250705,441.486156796608
"29",452.238652582007,461.843041682063
"30",463.916352506083,479.486966361531
"31",471.568789346074,490.910290414611
"32",489.596073917168,490.910290414611
"33",511.997531943433,508.567699308335
"34",528.801115275851,519.861133899032
"35",547.627472455222,535.35091906019
"36",575.246348151858,550.041157903097
"37",596.34644968129,557.171807474625
"38",606.723076894836,577.303205754901
"39",616.034866290461,603.312291726355
"40",643.795076398111,630.453662702642
"41",658.796526869316,639.44529538905
"42",663.760262815917,660.176146200665
"43",674.246497012099,671.836304024556
"44",700.41797502762,681.876278754034
"45",710.095390837339,708.196860878094
"46",736.416196454201,721.83556102794
"47",763.560840734097,733.901396471051
"48",763.560840734097,757.15458695212
"49",766.999491120848,770.044478183003
"50",788.34440983023,779.822337322405
"51",793.456965394212,788.816862712136
"52",795.950368784609,803.693376927781
"53",815.547884381952,809.94063857693
"54",838.641995658108,822.012767047912
"55",866.094037986221,828.260361144511
"56",879.321290569956,833.449110420586
"57",906.166138810543,856.349150185331
"58",925.078940964832,862.843345188129
"59",940.653126187829,885.908714471107
"60",947.773060939278,896.150152908921
"61",971.465355210482,908.488124634892
"62",974.948256388913,923.988630673571
"63",980.096129964563,935.642445947477
"64",1001.05392875727,962.357251511089
"65",1001.05392875727,987.12219750082
"66",1024.72121388249,999.50502342908
"67",1047.3483878784,1021.63378499301
"68",1060.30901109808,1043.43614677747
"69",1087.22585347967,1046.39348107759
"70",1100.58303174608,1072.31676813982
"71",1104.99665772033,1100.18198118869
"72",1128.01711596014,1108.12854964926
"73",1150.58903725937,1125.505550228
"74",1162.30355818332,1130.76717322838
"75",1179.64528119787,1152.75292146272
"76",1196.69814038286,1163.52258600104
"77",1217.02349984227,1169.57626454722
"78",1238.98781941883,1192.57291275831
"79",1262.68166899892,1197.24441707461
"80",1290.06230119064,1213.37696609514
"81",1309.90674352832,1226.32562341453
"82",1328.18352236088,1238.80343241715
"83",1354.96214798664,1266.92765393294
"84",1380.95554904812,1285.37173745508
"85",1406.51997835055,1306.83887801092
"86",1434.36844827843,1311.029487771
"87",1449.44720394852,1317.01942267465
"88",1453.63218397855,1337.12046756987
"89",1472.13590356629,1360.10884784322
"90",1490.34602690841,1365.83624798695
"91",1511.85761342575,1379.6096478498
"92",1520.32612731601,1404.00409728518
"93",1522.91831367957,1429.93046777203
"94",1546.49268610355,1439.25589490554
"95",1571.78451966519,1458.37161082288
