"","2015"
"1",2.52581092287126
"2",5.6861968751586
"3",8.26478139175939
"4",8.26478139175939
"5",15.9134289026844
"6",22.0790764621362
"7",22.0790764621362
"8",22.0790764621362
"9",24.5872109199725
"10",24.5872109199725
"11",24.5872109199725
"12",27.5882070450464
"13",29.9818936529389
"14",29.9818936529389
"15",29.9818936529389
"16",29.9818936529389
"17",29.9818936529389
"18",29.9818936529389
"19",33.537564617897
"20",48.5888909370096
"21",48.5888909370096
"22",48.5888909370096
"23",63.4501226568288
"24",84.4138545556955
"25",89.9931035504151
"26",94.2971820800218
"27",98.7440492295346
"28",102.304204506263
"29",102.304204506263
"30",106.796351992711
"31",112.561843694223
"32",112.561843694223
"33",112.561843694223
"34",118.030512390696
"35",122.149137452946
"36",124.925881915751
"37",129.522485456774
"38",129.522485456774
"39",129.522485456774
"40",132.075330400241
"41",132.075330400241
"42",132.075330400241
"43",132.075330400241
"44",132.075330400241
"45",132.075330400241
"46",132.075330400241
"47",135.580262356906
"48",137.787769476787
"49",137.787769476787
"50",137.787769476787
"51",137.787769476787
"52",140.966436036359
"53",140.966436036359
"54",145.03441975699
"55",151.229685851594
"56",154.767647806575
"57",154.767647806575
"58",154.767647806575
"59",154.767647806575
"60",169.523621898687
"61",180.054944897794
"62",180.054944897794
"63",184.703283741227
"64",184.703283741227
"65",184.703283741227
"66",202.834396581625
"67",205.661849223026
"68",209.527645281117
"69",209.527645281117
"70",211.965137188611
"71",214.941829541956
"72",239.501607977698
"73",239.501607977698
"74",242.846159592029
"75",242.846159592029
"76",242.846159592029
"77",242.846159592029
"78",242.846159592029
"79",249.311961065929
"80",253.129199460377
"81",261.673659110114
"82",261.673659110114
"83",269.983758661464
"84",269.983758661464
"85",283.349326584065
"86",287.91458725902
"87",291.932566983392
"88",291.932566983392
"89",294.957567414637
"90",302.1095277694
"91",309.87670303541
"92",309.87670303541
"93",309.87670303541
"94",322.464041735577
"95",322.464041735577
"96",324.719141453909
"97",324.719141453909
"98",324.719141453909
"99",328.13204142885
"100",328.13204142885
"101",338.141933496643
"102",338.141933496643
"103",344.199335092842
"104",351.940792238363
"105",351.940792238363
"106",359.084361197247
"107",365.076595033984
"108",388.117914380486
"109",391.302040251043
"110",396.379300771337
"111",396.379300771337
"112",399.922795501555
"113",415.076193071136
"114",421.44480151524
"115",421.44480151524
"116",436.833119547229
"117",441.82064108132
"118",465.723227699823
"119",478.189099891842
"120",498.552821734901
"121",501.210084610753
"122",516.434042909812
"123",538.799181317734
"124",564.088285558339
"125",584.089948208084
"126",598.860672878009
"127",602.384638531687
"128",602.384638531687
"129",614.882499562801
"130",614.882499562801
"131",618.72382969452
"132",633.817297527088
"133",636.3871045648
"134",645.209512735792
"135",645.209512735792
"136",658.534940375885
"137",662.843548825296
"138",668.750179513546
"139",675.575771893439
"140",679.174871974635
"141",689.358249791036
"142",693.012306357047
"143",712.679688876702
"144",717.890790273556
"145",721.393745416176
"146",733.660559897153
"147",733.660559897153
"148",739.428353609849
"149",739.428353609849
"150",753.98465650064
"151",759.501155519377
"152",762.52004329122
"153",765.106890675088
"154",765.106890675088
"155",765.106890675088
"156",773.625091690882
"157",785.771216143546
"158",810.80789420755
"159",814.550444033925
"160",828.677214409199
"161",828.677214409199
"162",835.969800000175
"163",850.164893264091
"164",850.164893264091
"165",859.185922383216
"166",874.813612925001
"167",880.385186436781
"168",880.385186436781
"169",880.385186436781
"170",884.069170255098
"171",893.588658056882
"172",901.266438877428
"173",906.496239212203
"174",913.967879877838
"175",918.56466229147
"176",918.56466229147
"177",921.639790427932
"178",930.220666649776
"179",930.220666649776
"180",942.11755488778
"181",946.003764260401
"182",946.003764260401
"183",949.226768913949
"184",949.226768913949
"185",955.441329757998
"186",958.23595978855
"187",962.939746137834
"188",979.466368600174
"189",979.466368600174
"190",997.557207643866
"191",1010.28139000683
"192",1010.28139000683
"193",1010.28139000683
"194",1021.26228261097
"195",1023.95764373561
"196",1040.43780975209
"197",1040.43780975209
"198",1062.65676688351
"199",1077.36573617303
"200",1105.16571705185
"201",1124.69384814262
"202",1130.19477990625
"203",1144.42858645886
"204",1155.56928788501
"205",1168.91644664004
"206",1168.91644664004
"207",1190.23443951827
"208",1190.23443951827
"209",1190.23443951827
"210",1205.29407734869
"211",1205.29407734869
"212",1205.29407734869
"213",1207.93072160283
"214",1207.93072160283
"215",1207.93072160283
"216",1216.75235345045
"217",1223.94452819971
"218",1223.94452819971
"219",1232.58557770047
"220",1232.58557770047
"221",1236.88287129722
"222",1253.17798988212
"223",1264.60293418494
"224",1274.24281126338
"225",1276.60811723193
"226",1276.60811723193
"227",1280.15202073374
"228",1283.49008584717
"229",1283.49008584717
"230",1293.01782676754
