"","2005","2004"
"1",5.78043395163343,7.62637654617261
"2",16.7197486546642,11.1913674147462
"3",40.9046011467737,18.3520278371458
"4",57.0612242791857,38.658531607438
"5",69.5524917679071,51.0495253388075
"6",69.5524917679071,56.0966627583817
"7",76.1283069065003,68.6299828459322
"8",78.7281963833949,92.5606750882138
"9",78.7281963833949,101.332808597795
"10",95.579921699055,101.332808597795
"11",99.5451751531551,112.823695787292
"12",107.242415711423,120.990932459295
"13",115.010636408258,128.995839673506
"14",126.841760992822,128.995839673506
"15",131.582040475536,144.037496411257
"16",131.582040475536,150.71784507162
"17",131.582040475536,157.465226502808
"18",145.3956090017,177.159119221382
"19",148.81730446885,190.014212126968
"20",169.433242173137,210.669702347465
"21",184.097786206501,210.669702347465
"22",190.941234967297,210.669702347465
"23",201.13029783045,214.867698512326
"24",211.412500839886,221.126557926218
"25",211.412500839886,235.530724305397
"26",219.518419679855,240.063806598167
"27",219.518419679855,242.713476705116
"28",225.577754538879,258.29388043754
"29",233.017710862288,272.481184887595
"30",247.206307334363,272.481184887595
"31",259.99264706269,276.203205150785
"32",276.284569004983,303.600129527255
"33",276.284569004983,313.099622150636
"34",286.389420757522,329.162881410366
"35",303.191028533276,331.553614634642
"36",314.16410313569,331.553614634642
"37",332.98068124629,346.899796453514
"38",339.300684996381,365.978991023531
"39",354.279123497173,384.454179243303
"40",360.488859316024,390.380994561823
"41",375.985338697047,400.969161894581
"42",397.688031925438,405.759992022855
"43",409.975949822744,431.714710321833
"44",412.244246821676,446.97087956092
"45",418.475281221038,459.070242999826
"46",421.972193591689,459.070242999826
"47",427.921275163883,463.195007158872
"48",440.580120060893,476.299772806066
"49",449.233259018986,492.953766664255
"50",452.074438447692,502.693071006277
"51",454.952534150074,515.011038154768
"52",454.952534150074,533.037489890754
"53",473.735825252099,535.475578580554
"54",476.472386158328,553.691223089142
"55",489.156732140523,563.172423304479
"56",489.156732140523,566.721639253506
"57",511.981950079122,580.7552170607
"58",516.475155671075,589.232511009997
"59",536.655724162317,615.815881730045
"60",543.429440288329,634.502418066805
"61",547.39649929514,652.847785765421
"62",551.418918207844,671.003259080525
"63",561.134940056796,674.930075655085
