"","2013"
"1",5.74521305863896
"2",18.9397999973773
"3",24.0203915656367
"4",27.3095290526147
"5",27.3095290526147
"6",29.6507077594818
"7",34.5073318213012
"8",36.7794003055287
"9",44.8748517102326
"10",62.5013168428543
"11",62.5013168428543
"12",73.5361559915788
"13",73.5361559915788
"14",73.5361559915788
"15",73.5361559915788
"16",73.5361559915788
"17",79.3206280221047
"18",81.9057939053202
"19",90.5338795784111
"20",90.5338795784111
"21",90.5338795784111
"22",90.5338795784111
"23",97.5970289269755
"24",97.5970289269755
"25",115.823033485658
"26",115.823033485658
"27",126.760720466892
"28",126.760720466892
"29",126.760720466892
"30",126.760720466892
"31",131.399623427922
"32",145.038325122905
"33",148.082694537079
"34",158.849145648064
"35",161.533804221669
"36",164.428034722072
"37",171.151150954237
"38",171.151150954237
"39",181.618757339111
"40",181.618757339111
"41",183.824293231547
"42",190.69695199551
"43",205.969775772144
"44",212.637986744389
"45",219.025561200568
"46",233.446793458092
"47",233.446793458092
"48",233.446793458092
"49",236.159667183633
"50",242.290888374104
"51",242.290888374104
"52",244.769811540092
"53",265.100969831036
"54",265.100969831036
"55",280.616566983689
"56",306.063497311499
"57",309.087487815143
"58",312.475092502786
"59",312.475092502786
"60",318.12750206724
"61",318.12750206724
"62",325.976030563264
"63",338.24122082235
"64",342.921844008671
"65",345.732516744734
"66",353.387274588771
"67",369.950273793958
"68",369.950273793958
"69",369.950273793958
"70",372.540576515522
"71",372.540576515522
"72",378.733210204879
"73",385.756699884153
"74",385.756699884153
"75",388.607328071239
"76",397.324479276264
"77",400.675086731787
"78",406.971496021736
"79",412.503525694531
"80",417.793221034941
"81",422.874570900352
"82",427.152736808485
"83",437.086961578799
"84",445.435746385804
"85",453.699436925326
"86",458.553899992175
"87",458.553899992175
"88",464.526495395065
"89",464.526495395065
"90",467.701569985745
"91",475.350148537669
"92",475.350148537669
"93",480.091296254896
"94",480.091296254896
"95",480.091296254896
"96",487.702378311263
"97",487.702378311263
"98",487.702378311263
"99",487.702378311263
"100",492.412230594398
"101",492.412230594398
"102",497.454998179681
"103",513.069943950604
"104",515.823808928116
"105",531.124203180813
"106",535.162543210797
"107",540.416232159747
"108",544.508649389466
"109",567.303399641142
"110",570.160441339046
"111",588.180084787927
"112",591.030395157985
"113",591.030395157985
"114",614.166176040983
"115",626.376695736636
"116",626.376695736636
"117",643.94681377356
"118",666.721895221195
"119",669.371204352233
"120",676.405402372269
"121",676.405402372269
"122",695.865946154628
"123",708.324937164087
"124",713.369572337026
"125",718.770876576779
"126",724.464614270956
"127",726.700130578858
"128",737.04333397489
"129",754.711329786562
"130",764.727556931126
"131",768.808432002804
"132",768.808432002804
"133",782.179951295441
"134",788.103978246324
"135",791.454591561729
"136",802.820833010023
"137",806.136799631877
"138",806.136799631877
"139",806.136799631877
"140",806.136799631877
"141",809.562613684796
"142",811.963451309785
"143",815.546858509008
"144",836.043298996985
"145",845.494202523009
"146",864.130731101597
"147",864.130731101597
"148",886.65485851842
"149",886.65485851842
"150",895.713529674644
"151",912.208188821531
"152",912.208188821531
"153",922.702382143333
"154",937.475550400325
"155",946.31302329911
"156",946.31302329911
"157",946.31302329911
"158",957.871595976414
"159",967.441317083084
"160",974.620089393334
"161",978.635459293801
"162",978.635459293801
"163",995.732798587095
"164",1011.88144558613
"165",1019.09795053605
"166",1035.48447263892
"167",1042.74194690983
"168",1061.17124750733
"169",1084.43058182513
"170",1088.2766991776
"171",1105.33675867529
"172",1120.76092076433
"173",1120.76092076433
"174",1120.76092076433
"175",1128.05570728588
"176",1139.55922260539
"177",1148.60064234484
"178",1160.05891344413
"179",1165.59811038362
"180",1172.98023937834
"181",1180.51927836112
"182",1185.8824666744
"183",1185.8824666744
"184",1204.62353698672
"185",1220.51847205743
"186",1227.73963032146
"187",1238.84385383045
"188",1251.2870088098
"189",1255.85737331345
"190",1282.46386115136
"191",1282.46386115136
"192",1291.88149559935
"193",1309.90018281524
"194",1312.22608466865
"195",1317.43461825045
"196",1317.43461825045
"197",1319.7983815211
"198",1322.93605834242
"199",1336.78204945323
"200",1361.73756713197
"201",1365.71013619298
"202",1374.07373493431
"203",1377.55516167194
"204",1377.55516167194
"205",1383.32971436009
"206",1387.2342740288
"207",1391.23100759094
"208",1394.61602387302
"209",1405.21486842286
"210",1408.34215416608
"211",1415.34021737402
"212",1418.82912666121
"213",1426.67893163833
"214",1446.40564744358
"215",1446.40564744358
"216",1456.53401196284
"217",1456.53401196284
"218",1465.27040765723
"219",1482.34191031311
"220",1494.67626053706
"221",1494.67626053706
"222",1500.61530812966
"223",1500.61530812966
"224",1511.37820374685
"225",1517.8738016754
"226",1517.8738016754
"227",1535.86065658752
"228",1551.21724440924
"229",1574.55100592582
"230",1586.25642502751
