"","2015","2014"
"1",0,6.22203012344257
"2",0,9.92148563301259
"3",0,9.92148563301259
"4",12.7333450913117,20.518205372665
"5",12.7333450913117,24.2969994031425
"6",22.2616916761768,24.2969994031425
"7",22.2616916761768,24.2969994031425
"8",22.2616916761768,24.2969994031425
"9",26.9349244200783,27.5150328866051
"10",26.9349244200783,37.891538436025
"11",26.9349244200783,37.891538436025
"12",26.9349244200783,37.891538436025
"13",32.9036446152699,40.3283323593285
"14",32.9036446152699,40.3283323593285
"15",32.9036446152699,40.3283323593285
"16",32.9036446152699,40.3283323593285
"17",32.9036446152699,40.3283323593285
"18",32.9036446152699,40.3283323593285
"19",40.5007440056835,40.3283323593285
"20",40.5007440056835,42.8619045842348
"21",40.5007440056835,42.8619045842348
"22",40.5007440056835,46.8929235534167
"23",40.5007440056835,46.8929235534167
"24",46.4707835804169,46.8929235534167
"25",46.4707835804169,46.8929235534167
"26",46.4707835804169,46.8929235534167
"27",46.4707835804169,46.8929235534167
"28",46.4707835804169,46.8929235534167
"29",46.4707835804169,46.8929235534167
"30",49.6976387306642,46.8929235534167
"31",51.9806426912982,51.8643269152789
"32",51.9806426912982,58.4674271697823
"33",51.9806426912982,58.4674271697823
"34",55.0598546410797,58.4674271697823
"35",55.0598546410797,58.4674271697823
"36",55.0598546410797,58.4674271697823
"37",55.0598546410797,61.2144946739245
"38",58.5803351264714,61.2144946739245
"39",58.5803351264714,61.2144946739245
"40",62.2000456390861,61.2144946739245
"41",62.2000456390861,61.2144946739245
"42",67.179041303203,65.74944605944
"43",67.179041303203,65.74944605944
"44",67.179041303203,67.9782291024347
"45",67.179041303203,75.6990241434433
"46",67.179041303203,81.0876765432322
"47",72.0645168585852,81.0876765432322
"48",72.0645168585852,81.0876765432322
"49",72.0645168585852,81.0876765432322
"50",72.0645168585852,81.0876765432322
"51",72.0645168585852,81.0876765432322
"52",72.0645168585852,85.4254280611981
"53",72.0645168585852,85.4254280611981
"54",72.0645168585852,96.6930305891297
"55",72.0645168585852,96.6930305891297
"56",72.0645168585852,96.6930305891297
"57",72.0645168585852,99.676979783308
"58",89.9383735249917,99.676979783308
"59",89.9383735249917,106.554030821776
"60",92.6864164545714,117.025275230886
"61",95.4781950718067,117.025275230886
"62",97.9101234791403,117.025275230886
"63",97.9101234791403,119.317865449709
"64",108.04017064881,119.317865449709
"65",108.04017064881,119.317865449709
"66",108.04017064881,139.24114734309
"67",112.159536425507,148.566540680561
"68",112.159536425507,150.826341600364
