"","2011","2012","2009","2010"
"1",0,2.4094318234957,3.66838252022963,8.90588472695351
"2",5.07751960365339,2.4094318234957,18.308432541469,20.2129119373922
"3",12.2400506844546,11.5916654752713,23.7937103223771,27.680820342829
"4",12.2400506844546,11.5916654752713,23.7937103223771,42.4612576458107
"5",12.2400506844546,15.9789424936055,44.5824813383052,64.6977528197722
"6",15.0383071438037,15.9789424936055,48.8975637133196,68.6622206564815
"7",18.5172127763286,30.5722555833885,54.1709890091006,74.3540937515518
"8",18.5172127763286,32.9408008366504,60.0276650580228,77.6392895092635
"9",18.5172127763286,45.9689939385254,60.0276650580228,77.6392895092635
"10",24.7511827086774,57.2561097271108,60.0276650580228,82.1975161359346
"11",32.1675851052904,75.7758614821398,62.5006500076678,82.1975161359346
"12",41.1747869846995,82.0419702374904,70.5634204549515,84.5752744020377
"13",50.7893172475848,104.540549536173,76.6916769744174,89.8676562461651
"14",55.4287765147693,112.489911319604,79.2675179722893,92.7634900792276
"15",66.7458925876984,118.44068790837,85.4759853109184,105.211259516966
"16",76.1131608470098,118.44068790837,99.8422061697279,110.747627281549
"17",79.6319203683921,118.44068790837,99.8422061697279,115.031366739896
"18",84.8346749500217,124.300876520211,111.405235703665,117.892939919239
"19",94.9810852142551,127.061103473642,111.405235703665,123.191533302748
"20",94.9810852142551,131.52567671472,122.010247406337,128.161146031464
"21",94.9810852142551,142.325908845754,122.010247406337,133.708478700784
"22",94.9810852142551,155.643081403381,138.25008266891,136.875557306393
"23",100.922637927221,161.88892169166,145.320453069912,154.735384492357
"24",108.178865906195,161.88892169166,157.08058063894,154.735384492357
"25",108.178865906195,161.88892169166,163.75457340101,163.719633401288
"26",110.611750905227,161.88892169166,176.251450054533,163.719633401288
"27",120.56916528298,180.143040134938,176.251450054533,178.05540619596
"28",127.37324215005,187.392161967601,178.793515580395,178.05540619596
"29",130.144397131204,187.392161967601,178.793515580395,178.05540619596
"30",133.445867263801,198.189455137505,186.941541679383,183.827292757152
"31",142.616469073976,198.189455137505,207.295871804456,190.386657862524
"32",145.003356975621,198.189455137505,221.197006310411,201.112116883976
"33",147.791012534348,200.849607545754,227.280189424563,206.252086233063
"34",170.354350582406,215.870641232274,227.280189424563,206.252086233063
"35",188.594366114646,222.556549083554,232.937411398848,206.252086233063
"36",190.971463145566,222.556549083554,242.035148280885,208.489884981861
"37",204.328601909518,222.556549083554,249.53319524663,213.181622235134
"38",206.935639978221,240.89343027233,256.871040635133,219.971880754852
"39",206.935639978221,240.89343027233,275.574653888278,226.213073876478
"40",206.935639978221,243.838615250707,280.78396597658,229.876934388629
"41",214.497876249919,254.350084241827,283.079783495657,243.350057558559
"42",214.497876249919,254.350084241827,295.080919277966,243.350057558559
"43",214.497876249919,256.989413068929,305.100352579306,243.350057558559
"44",235.339844747529,264.526579480737,305.100352579306,246.254198949659
"45",239.661537112157,278.623127244624,305.100352579306,254.36742194152
"46",247.085052993653,281.842020780414,313.03172726119,263.502025797295
"47",252.459934884156,281.842020780414,316.964558362207,279.055968878735
"48",266.991926184427,302.135360083064,333.273153598839,298.836977302042
"49",276.770091125676,302.135360083064,333.273153598839,301.22436550023
"50",284.447748367762,320.609074304276,356.467356778614,304.679971595658
"51",291.360358372956,323.905899287229,356.467356778614,322.489129286432
"52",313.437757816705,323.905899287229,360.125948498921,331.604299612064
"53",316.415563308718,329.462432339794,360.125948498921,358.345460820699
"54",325.436915392343,336.197092961747,368.378878840874,363.600812088615
"55",334.121206537961,345.087464484382,368.378878840874,366.932611937698
"56",341.485339430995,345.087464484382,368.378878840874,366.932611937698
"57",346.297582949846,347.374379521981,371.027297586113,375.71298039589
"58",346.297582949846,347.374379521981,375.367606902406,396.477403786398
"59",352.466010223788,351.431252477938,379.257450334533,396.477403786398
"60",362.009099232514,371.926248300956,379.257450334533,401.091845770032
"61",370.231488059996,388.911493492171,383.558259883391,404.236875480012
"62",372.846387861515,388.911493492171,394.690792318375,404.236875480012
"63",377.052103977192,404.305368320138,400.613742789385,407.045457466757
"64",380.243800337463,415.386428590765,400.613742789385,407.045457466757
"65",382.638378962818,422.676282061197,400.613742789385,419.30404798333
"66",390.395744678892,436.633076326333,407.052981608043,427.154807846247
"67",406.758030228599,439.581109602435,412.109257949223,430.855144507823
"68",416.351080342482,444.824356320016,414.521535372644,430.855144507823
"69",422.609123373752,455.022399085539,432.535854651073,430.855144507823
"70",422.609123373752,459.924124237821,432.535854651073,434.580748919795
"71",437.211693110243,473.957599145894,435.50981454127,434.580748919795
