"","2012","2011","2009","2010"
"1",0,3.64454903088232,0,18.3432386442227
"2",5.70709484349138,3.64454903088232,0,18.3432386442227
"3",8.8548641687723,9.65672309302102,0,29.1183121206261
"4",8.8548641687723,14.2423861365543,9.17599616844478,34.0715757169139
"5",11.1995273702289,17.7221199756163,16.1963374279729,56.3998569426725
"6",13.8176187231438,33.8344799864291,21.3350289977443,59.9635038231172
"7",22.9653297886717,38.457112135249,21.3350289977443,59.9635038231172
"8",28.218500178187,38.457112135249,27.3150184896511,67.3733980837826
"9",34.3861035542883,53.2629403810935,29.9550568399745,67.3733980837826
"10",40.0317735844159,53.2629403810935,29.9550568399745,67.3733980837826
"11",40.0317735844159,53.2629403810935,29.9550568399745,70.0385391468609
"12",40.0317735844159,56.16418812528,29.9550568399745,73.5314121585886
"13",40.0317735844159,61.7061115676402,52.4271634128005,73.5314121585886
"14",40.0317735844159,70.2001362571065,52.4271634128005,73.5314121585886
"15",40.0317735844159,70.2001362571065,54.7335212669462,79.3246095759714
"16",40.0317735844159,70.2001362571065,58.560107927714,82.7721542329705
"17",47.1585309041336,82.1812485860418,61.1441545953857,89.8041745659424
"18",58.1860058459364,82.1812485860418,61.1441545953857,94.0057731760575
"19",62.8948674653887,82.1812485860418,83.7633449753865,94.0057731760575
"20",62.8948674653887,82.1812485860418,83.7633449753865,94.0057731760575
"21",62.8948674653887,100.642030732909,88.8776326800852,119.071220005198
"22",66.3875500708261,125.206079526093,95.9163859095525,119.071220005198
"23",66.3875500708261,125.206079526093,95.9163859095525,127.98670760403
"24",66.3875500708261,125.206079526093,99.231750256131,139.334008138017
"25",66.3875500708261,125.206079526093,102.126739080848,139.334008138017
"26",81.4626252654853,127.696099301803,109.829711397573,139.334008138017
"27",85.190413159124,134.469232639767,109.829711397573,139.334008138017
"28",85.190413159124,134.469232639767,114.614978655665,142.671992394054
"29",88.4523416490359,144.961919568367,125.54667477029,150.329199128818
"30",88.4523416490359,161.209776124686,125.54667477029,155.551305435496
"31",88.4523416490359,161.209776124686,125.54667477029,160.223198318875
"32",88.4523416490359,161.209776124686,125.54667477029,160.223198318875
"33",98.6556267754062,168.773369147493,125.54667477029,163.574900416496
"34",98.6556267754062,168.773369147493,145.242345562456,163.574900416496
"35",98.6556267754062,168.773369147493,150.322450504475,163.574900416496
"36",121.804196884508,172.443735891542,150.322450504475,163.574900416496
"37",125.257416671926,180.771246623895,150.322450504475,177.233634429417
"38",125.257416671926,187.810171645935,150.322450504475,180.325533503206
"39",125.257416671926,187.810171645935,150.322450504475,180.325533503206
"40",125.257416671926,192.454746836802,168.055715744889,182.642632368027
"41",133.797139747878,192.454746836802,170.52918360258,190.630008405366
"42",146.83745285068,196.371877437321,172.774940053854,190.630008405366
"43",153.789017590919,200.28136108868,177.719891449262,190.630008405366
"44",157.91973050107,200.28136108868,182.915972952362,195.268871661675
"45",168.500195800485,203.993788202052,182.915972952362,195.268871661675
"46",168.500195800485,203.993788202052,182.915972952362,197.69598324311
"47",168.500195800485,203.993788202052,192.841993260801,197.69598324311
