"","2006","2010"
"1",5.53444833844033,14.3935838659128
"2",5.53444833844033,18.6791025017524
"3",20.6236362980678,26.2837724845935
"4",20.6236362980678,28.5994298667714
"5",23.9427704133227,49.9490410006519
"6",23.9427704133227,60.0841476429975
"7",39.2305596279786,66.6824765662186
"8",45.849892971376,88.1787065979318
"9",49.3050463114693,93.3130380065299
"10",69.7037773791377,116.773661855151
"11",72.4019439257587,119.812631798578
"12",72.4019439257587,127.654058142952
"13",72.4019439257587,134.161886474263
"14",75.1697383881168,138.802660313433
"15",92.1849038033756,141.290807855026
"16",113.163795026677,144.279363991711
"17",120.340627092193,163.85968695812
"18",132.735175652995,167.773144669562
"19",138.997187377443,193.906828131277
"20",142.510078778515,193.906828131277
"21",146.667156235985,197.809644238438
"22",161.990229900494,204.603328878553
"23",172.546305996657,214.252402144377
"24",172.546305996657,219.609547070165
"25",190.659959270844,240.181593690806
"26",197.7920128504,240.181593690806
"27",201.173221237426,252.13622424255
"28",210.932172903936,255.407166309459
"29",216.334669070641,265.289293252544
"30",237.864864949682,265.289293252544
"31",237.864864949682,270.009993489986
"32",245.611769873981,284.313152302098
"33",265.525405255221,306.934903046864
"34",288.532946089935,311.252126517223
"35",288.532946089935,318.472519473422
"36",288.532946089935,318.472519473422
"37",307.566788664717,328.983697454448
"38",307.566788664717,339.534936292369
"39",313.400034175811,349.097341063394
"40",338.889153872949,353.78012463437
"41",361.034539371943,377.113111701717
"42",381.010114392493,377.113111701717
"43",383.214456315725,395.076608418137
"44",392.497813751168,410.056223264358
"45",402.013542242578,417.843548701316
"46",408.493729645944,431.417873386174
"47",415.341591951642,434.185889198031
"48",415.341591951642,452.244464856867
"49",431.27188166395,461.933834794251
"50",435.146722403576,477.217226595312
"51",439.602258433095,501.356711366567
"52",454.706369803597,516.804572187153
"53",460.762485802901,529.477230120297
"54",460.762485802901,552.629353684396
"55",485.170152014958,559.821798899926
"56",495.554842966854,559.821798899926
"57",502.225054698972,582.295955631256
"58",522.976664053057,585.192236198012
"59",529.382013910968,605.241636357781
"60",529.382013910968,609.707187221573
"61",535.054839136344,616.663097529177
"62",545.349693586267,625.194273801973
"63",562.57804710209,635.399227261413
"64",572.95405885796,641.29907239687
"65",585.214544509181,662.835043120499
"66",587.470439857656,683.946052584709
"67",593.939601427146,708.153315417003
"68",593.939601427146,726.800793420837
"69",618.733475036767,733.053035806905
"70",622.418975756876,736.200124878244
"71",636.797963862598,745.701672865316
"72",640.961041676099,745.701672865316
"73",666.365690243524,755.333970419684
"74",666.365690243524,768.828805082228
"75",686.979840327509,778.361747126301
"76",686.979840327509,783.628138517752
"77",709.555229338861,783.628138517752
"78",713.444940106298,783.628138517752
"79",713.444940106298,794.682609105538
"80",720.428590397352,800.75786554877
"81",739.450535669066,804.331451331138
"82",761.342254001462,818.133633413135
"83",769.728364392259,828.519816874488
"84",786.562786916895,831.367731185331
"85",800.726806542827,848.417860131767
"86",813.555978017108,858.149533292752
"87",836.11582944718,873.314341086063
"88",858.273729898444,899.18386826829
"89",870.375246606523,903.036330286144
"90",881.512923659489,911.590270419444
"91",895.93206689673,928.689766221085
"92",914.137283565818,940.945173258609
"93",931.198562610244,960.51755317068
"94",958.092654212659,982.497400958388
"95",967.428554003273,1002.31858148452
"96",978.231938538738,1009.79739975939
"97",993.908641348274,1025.31694392084
"98",999.957479316795,1033.63977916194
"99",1010.80623242683,1053.07574043595
"100",1015.61773728696,1075.71410622143
"101",1039.13976710679,1082.6516066244
"102",1051.57613513189,1106.00922111182
"103",1073.43885861216,1106.00922111182
"104",1086.03568835019,1110.54027829683
"105",1106.22520430724,1125.80469681257
"106",1106.22520430724,1140.93695174849
"107",1124.12278534799,1143.27828876034
"108",1148.70712427853,1163.36114769884
"109",1167.16586050432,1168.89029339716
"110",1184.51592638898,1173.80406737563
"111",1191.66200829455,1190.54487620568
"112",1202.65900601734,1193.54757407251
"113",1212.11727461706,1196.20616779082
"114",1221.36820806448,1222.25214499347
"115",1232.57457144633,1235.03298934531
"116",1256.26095831836,1253.5792529904
"117",1268.61728727703,1260.22469374013
"118",1278.63166860164,1280.17877649359
"119",1294.36717327208,1297.69419908714
"120",1294.36717327208,1313.54245520747
"121",1319.89220802529,1325.25369755929
"122",1339.81351606125,1342.49089729169
"123",1339.81351606125,1360.37211225879
"124",1364.39024195931,1371.26505752544
"125",1390.17008094346,1375.429347644
"126",1413.09742253069,1389.38337027153
"127",1423.43860532947,1400.65403929361
"128",1431.5388631866,1422.34284153558
"129",1446.89891864905,1435.9601443295
"130",1468.62560701366,1435.9601443295
"131",1490.3567119682,1449.6991164536
"132",1493.27685723405,1452.86050469782
"133",1519.1139220698,1468.85794526433
"134",1532.70805906795,1480.07096889103
"135",1544.6472020345,1489.41339132691
"136",1556.16841947279,1491.63082927482
"137",1561.8760333333,1495.24774463345
"138",1567.83478202738,1519.05148399858
"139",1580.57613512494,1522.51780843454
"140",1580.57613512494,1545.33768947529
"141",1596.71407258224,1572.02176307123
"142",1618.46161646242,1596.457055118
"143",1622.62485654151,1616.74303454693
"144",1637.65125981514,1624.01745858118
"145",1651.84127973241,1627.27478081134
"146",1660.40886527865,1640.91863449072
"147",1682.29206196448,1664.54919546819
"148",1684.70733870731,1689.18669893809
"149",1702.94874493092,1710.33550891727
"150",1714.02515656706,1721.42523522534
"151",1734.46275904478,1725.70901492412
"152",1734.46275904478,1725.70901492412
"153",1745.21132253234,1729.43825783055
"154",1756.03077609094,1750.36538505339
"155",1756.03077609094,1750.36538505339
