"","2008","2009","2010"
"1",3.34638512886821,13.8194738493778,11.238545741235
"2",6.57000586853857,24.6954080073083,14.2008071514265
"3",12.8078174614625,28.8576072419807,14.2008071514265
"4",30.9279823557207,32.8202220947116,20.5778459786094
"5",30.9279823557207,36.9415616004784,20.5778459786094
"6",30.9279823557207,39.9667208159236,20.5778459786094
"7",30.9279823557207,39.9667208159236,22.9583061554597
"8",30.9279823557207,39.9667208159236,22.9583061554597
"9",35.1752968179492,39.9667208159236,22.9583061554597
"10",35.1752968179492,49.3810671249007,22.9583061554597
"11",43.9665338456131,49.3810671249007,29.3247929038549
"12",56.2976175745884,52.0425384300128,32.5282577096499
"13",65.3795602231743,61.3536831123377,32.5282577096499
"14",71.2480382305017,61.3536831123377,32.5282577096499
"15",85.0333739598374,61.3536831123377,32.5282577096499
"16",85.0333739598374,61.3536831123377,43.493614998771
"17",85.0333739598374,65.8414099963746,43.493614998771
"18",85.0333739598374,65.8414099963746,62.344530973734
"19",93.7725996366796,65.8414099963746,62.344530973734
"20",93.7725996366796,65.8414099963746,62.344530973734
"21",93.7725996366796,65.8414099963746,62.344530973734
"22",110.894575989576,65.8414099963746,75.4475358115197
"23",121.713584109807,69.517209315764,75.4475358115197
"24",129.7079203342,74.6421817445077,75.4475358115197
"25",132.808472464644,90.3579570035547,75.4475358115197
"26",132.808472464644,99.969624171143,75.4475358115197
"27",132.808472464644,111.842445015466,75.4475358115197
"28",132.808472464644,115.288425963899,77.7722560268391
"29",135.752206751447,115.288425963899,80.0156775475061
"30",135.752206751447,115.288425963899,80.0156775475061
"31",141.70244736393,121.923546112611,80.0156775475061
"32",143.941397919561,126.630056509306,80.0156775475061
"33",167.916508971457,133.514615233638,85.9771620188988
"34",170.781887345006,133.514615233638,85.9771620188988
"35",175.127563865366,138.263940446536,85.9771620188988
"36",175.127563865366,147.616673968605,85.9771620188988
"37",180.693084022393,151.901293672672,88.2768519976951
"38",180.693084022393,151.901293672672,88.2768519976951
"39",180.693084022393,151.901293672672,91.6223639213691
"40",180.693084022393,160.601745891551,94.069724737601
"41",180.693084022393,165.807020631053,94.069724737601
"42",186.443164962688,165.807020631053,96.5796169157781
"43",203.99297364494,173.532061521488,96.5796169157781
"44",203.99297364494,185.229152324316,121.039912800203
"45",209.040694669397,193.903380667731,142.580839197045
"46",209.040694669397,196.757236783924,145.088702146532
"47",214.763970206869,196.757236783924,153.678791269133
"48",218.635372792148,196.757236783924,153.678791269133
"49",232.394213247602,200.192713308229,158.624677885642
"50",241.604903255645,200.192713308229,161.102057009557
"51",258.340666667284,202.847094122849,161.102057009557
"52",258.340666667284,210.489347870058,166.457024391956
"53",258.340666667284,217.792606388533,170.599115040694
"54",262.001925077558,235.373903074334,170.599115040694
"55",262.001925077558,235.373903074334,181.713561306796
"56",264.291609596823,240.632812915397,184.303456793589
"57",272.53801236171,243.622751604231,184.303456793589
"58",274.894391627148,250.704543830001,187.390934566599
"59",278.592171980976,272.435006571063,200.311033104794
"60",281.962518002603,272.435006571063,207.123260777739
"61",281.962518002603,277.378732828639,209.882967324375
"62",284.987276979326,281.423059571615,228.772661471778
"63",284.987276979326,289.175288150231,244.454169989013
"64",284.987276979326,292.616951714233,250.36953198919
"65",287.587413341154,292.616951714233,254.247887232991
"66",296.626527139948,308.823054923467,254.247887232991
"67",300.244971710483,308.823054923467,254.247887232991
"68",309.268554253937,308.823054923467,254.247887232991
"69",315.775101812077,308.823054923467,254.247887232991
"70",315.775101812077,316.804796494009,259.799251132191
"71",325.748025513444,316.804796494009,268.397076778901
"72",345.677212205024,316.804796494009,272.040902432056
"73",352.526523496907,319.58543342256,275.305076380287
"74",354.910780849804,319.58543342256,287.376084622787
"75",364.313724797117,324.427771044295,287.376084622787
"76",364.313724797117,331.094530835008,291.112877485725
"77",366.634089206447,334.707593266759,296.080217308728
"78",378.984071527029,334.707593266759,296.080217308728
"79",383.256155817098,334.707593266759,296.080217308728
"80",385.968968285492,334.707593266759,300.796168276853
"81",388.760974081314,334.707593266759,311.491428691694
