"","2011","2012","2010","2013","2014"
"1",6.03158402484818,26.1185561660152,2.90522530268768,5.02313418408266,14.2964876283346
"2",8.52477270206043,46.1342457048177,2.90522530268768,9.26713018777969,19.5047981084192
"3",17.5540810203796,50.3728606809267,11.322866115255,14.7952346337928,24.2526799985068
"4",21.4122244271078,63.6461706273467,15.816108966841,18.4991753262624,28.2481215156118
"5",29.193632835075,63.6461706273467,19.1479687558537,32.8088701539329,43.0782026856321
"6",29.193632835075,88.2048490034562,34.6598717297134,51.3531000757215,65.9443042207767
"7",49.6840589029638,93.4453588025413,34.6598717297134,56.5271795961961,74.7023148188666
"8",59.083162502186,100.029793422097,41.2240297804937,56.5271795961961,91.9426066935064
"9",75.564383967147,100.029793422097,51.8336096127891,63.0979162958762,115.462846669473
"10",85.1461518196786,100.029793422097,60.3958294588422,63.0979162958762,115.462846669473
"11",99.6427808370782,113.046163964106,67.8088053019307,63.0979162958762,130.152010094093
"12",102.57422854483,125.635504934618,70.464112547821,69.8199141409084,140.212188586946
"13",108.01737441497,143.732643991526,80.9643387032811,84.2273269840385,144.500803384133
"14",117.43563968752,165.238217464441,84.3907760062877,106.912921944786,147.823680295924
"15",127.458800636759,167.794478344208,86.6710137738364,106.912921944786,156.647093466125
"16",146.618334872788,193.257608211502,103.391473630523,109.938491564785,161.929520150268
"17",153.878187348624,200.504443566074,109.821491686799,109.938491564785,184.846899488099
"18",159.160814280115,204.137066690551,119.922257104643,118.897587459373,194.14571251847
"19",159.160814280115,209.302179629625,132.20497905922,125.673704885037,194.14571251847
"20",159.160814280115,218.376839153562,132.20497905922,135.758514796371,194.14571251847
"21",163.874699433092,241.321840838356,142.849613648359,135.758514796371,201.415796678361
"22",178.464418015762,246.729267788294,142.849613648359,148.33729060601,205.629821093005
"23",182.915222275548,249.697193810472,159.765907534925,160.658853384772,209.124141010788
"24",182.915222275548,254.807746311869,163.350269201664,177.994512451134,215.582794714301
"25",182.915222275548,261.087416417386,166.958791679595,177.994512451134,220.685918140584
"26",191.296107811238,261.087416417386,189.782969056609,184.40763214771,230.270030994548
"27",195.408704621414,271.620714480769,192.44050736706,194.978563161517,234.111510049002
"28",195.408704621414,295.604828061976,199.41081504517,197.241876103231,253.333225422029
"29",195.408704621414,303.828684981856,215.041767852879,197.241876103231,265.553480534983
"30",195.408704621414,303.828684981856,228.874190986872,197.241876103231,265.553480534983
"31",198.222143736331,307.345065442894,237.780936832333,204.412719835146,272.785653624722
"32",206.95227376431,315.253282990162,244.184310324141,206.616060187443,277.147135308223
"33",210.562062182914,335.057627454087,250.494767367792,228.328367796705,286.835656074766
"34",224.272143387321,340.404551926442,275.461817531284,228.328367796705,286.835656074766
"35",229.454661646471,355.548386238332,278.007699353312,228.328367796705,289.727552515496
"36",235.700899966847,360.164147202499,292.183143212009,233.832008869948,308.545786359574
"37",238.203503688073,380.007406328161,306.035643719136,236.527055387403,316.818678785005
"38",244.359199915125,386.368917872728,310.420323589037,241.443028970453,316.818678785005
"39",244.359199915125,401.205713998497,318.57263359359,241.443028970453,336.790154056838
"40",244.359199915125,401.205713998497,332.277619913532,241.443028970453,336.790154056838
"41",247.13892801023,417.840795041925,336.340877699679,249.344043258439,345.056203147732
"42",264.550491136272,424.182433927205,342.06580325077,254.837912415447,356.084355009926
"43",278.862958558532,431.818875738173,342.06580325077,268.101100274861,359.086476106613
"44",278.862958558532,435.862493412456,359.458516462166,279.387774391329,362.518127453441
"45",283.034234597634,438.939178839335,359.458516462166,279.387774391329,369.798653123824
"46",290.160014030749,459.256310897845,359.458516462166,299.027334829365,388.799347629416
"47",300.546858626929,459.256310897845,380.195498203968,312.729577983217,391.567466874126
"48",313.948704525887,465.609167474485,389.988098132353,330.939551846927,391.567466874126
"49",340.002794779794,474.94770109916,396.516281258924,330.939551846927,391.567466874126
"50",340.002794779794,474.94770109916,400.620922017126,345.167570690895,391.567466874126
"51",340.002794779794,480.67391174808,400.620922017126,363.958161430197,397.523480111009
"52",362.018463522504,489.06440512793,428.262092358135,372.40212306368,400.229355760029
"53",370.607247656792,491.775452362674,446.63082347404,389.553583255884,402.425989598769
"54",384.186896979548,496.447499289053,451.305837024508,393.669086071288,405.888654898861
"55",397.442589724893,496.447499289053,456.739181421626,400.937600901261,408.339638436338
"56",397.442589724893,501.585802885192,465.391701717624,412.240723469547,413.488353882564
"57",408.161339950826,524.375853229445,468.052309600273,432.00447887559,428.243897605014
