"X","Species","Type","site","lat","lon","alt","Biome","year","tree","DOY","MAT","Chill0_5","Chill_5_5","Chill_5_0","Chill_10_0","Force5s","photoperiod","scPDSI1","scPDSI2","scPDSI3","scPDSI4","scPDSI5","scPDSI6","scPDSI_p","SPEI1m1","SPEI1m2","SPEI1m3","SPEI1m4","SPEI1m5","SPEI1m6","SPEI1m_p","SPEI3m1","SPEI3m2","SPEI3m3","SPEI3m4","SPEI3m5","SPEI3m6","SPEI3m_p","SPEI6m1","SPEI6m2","SPEI6m3","SPEI6m4","SPEI6m5","SPEI6m6","SPEI6m_p","Precip","PrecipDOY"
"14","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2007,50,107,9.33912603786301,64,69,5,8,245.082060922947,13.59,1.79,2.05,2.37,1.27,1.76,2.28,1.27,-0.27223,0.91302,1.4194,-1.9141,1.2619,1.5816,-1.9141,-0.84737,0.098294,1.0637,0.35164,0.71046,0.94854,0.35164,1.601,1.049,0.76801,-0.47327,0.49219,1.241,-0.47327,1384.2,436
"15","ABAL","Late","AMN",48.73333333,6.316666667,270,"Temperate",2007,14,112,10.4369863013699,45,55,10,10,367.605709947706,13.9,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,271.8
"16","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2007,51,121,9.33912603786301,64,69,5,8,361.208119911336,14.35,1.79,2.05,2.37,1.27,1.76,2.28,1.27,-0.27223,0.91302,1.4194,-1.9141,1.2619,1.5816,-1.9141,-0.84737,0.098294,1.0637,0.35164,0.71046,0.94854,0.35164,1.601,1.049,0.76801,-0.47327,0.49219,1.241,-0.47327,1384.2,453.8
"17","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2006,6,130,10.5280821917808,76,117,41,45,289.976805073549,14.84,-2.74,-2.58,1.16,1.27,2.05,1.65,1.27,-1.5004,0.22958,1.6215,-0.78837,1.6217,-0.79038,-0.78837,-1.2567,-0.65184,0.39501,0.66264,1.4621,0.23395,0.66264,-1.4646,-1.1326,-0.46717,-0.4585,0.56916,0.33212,-0.4585,774,234.6
"18","ABAL","Late","AMN",48.73333333,6.316666667,270,"Temperate",2007,10,129,10.4369863013699,45,55,10,10,539.714350932786,14.78,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,333.6
"19","ABAL","Late","GRA",48.47,4.13,650,"Temperate",2007,57,107,8.13116673322192,65,83,18,21,187.635702854082,13.6,-1.46,-0.9,-0.48,-1.25,0.23,0.46,-1.25,0.025383,1.1179,0.60117,-1.7664,1.1538,0.32048,-1.7664,-0.33478,0.4154,0.89602,0.12916,0.038169,-0.096923,0.12916,0.84153,0.49528,0.88548,-0.18169,0.31606,0.54459,-0.18169,2176.82,718.56
"20","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2009,51,122,9.25033524392329,64,109,45,55,219.742180616803,14.42,-0.99,-0.72,-0.35,-0.87,-1.25,-1.17,-0.87,-1.132,0.86933,1.0288,-1.0332,-0.39396,-0.52019,-1.0332,-1.2257,-0.23875,0.41057,0.39611,-0.24412,-1.1942,0.39611,0.1747,0.23053,0.14961,-0.70761,-0.39958,-0.58284,-0.70761,1067.8,361.2
"21","ABAL","Late","GRD",48.48333333,7.15,643,"Temperate",2007,67,107,8.0372143042,71,92,21,25,187.37461142382,13.6,1.79,2.05,2.37,1.27,1.76,2.28,1.27,-0.27223,0.91302,1.4194,-1.9141,1.2619,1.5816,-1.9141,-0.84737,0.098294,1.0637,0.35164,0.71046,0.94854,0.35164,1.601,1.049,0.76801,-0.47327,0.49219,1.241,-0.47327,2176.82,718.56
"22","ABAL","Late","ABR",48.35,7.066666667,430,"Temperate",2009,48,132,9.25033524392329,64,109,45,55,298.56979995207,14.9,-0.99,-0.72,-0.35,-0.87,-1.25,-1.17,-0.87,-1.132,0.86933,1.0288,-1.0332,-0.39396,-0.52019,-1.0332,-1.2257,-0.23875,0.41057,0.39611,-0.24412,-1.1942,0.39611,0.1747,0.23053,0.14961,-0.70761,-0.39958,-0.58284,-0.70761,1067.8,372.8
"23","ABAL","Late","GRD",48.48333333,7.15,643,"Temperate",2008,56,130,8.87532778774863,83,124,41,47,236.17945993977,14.79,-0.79,-1.13,0.45,1.32,0.79,0.33,1.32,0.39855,-0.78842,0.55871,1.932,0.17222,-0.57248,1.932,0.1366,-0.19908,0.018197,1.346,1.4653,1.1818,1.346,0.54745,-0.93315,-0.78705,1.0199,1.0021,0.85668,1.0199,1770.06,696.44
"24","ABAL","Late","GRD",48.48333333,7.15,643,"Temperate",2007,64,110,8.0372143042,71,92,21,25,199.987919550288,13.77,1.79,2.05,2.37,1.27,1.76,2.28,1.27,-0.27223,0.91302,1.4194,-1.9141,1.2619,1.5816,-1.9141,-0.84737,0.098294,1.0637,0.35164,0.71046,0.94854,0.35164,1.601,1.049,0.76801,-0.47327,0.49219,1.241,-0.47327,2176.82,718.56
"25","ABAL","Late","GRD",48.48333333,7.15,643,"Temperate",2008,57,124,8.87532778774863,83,124,41,47,176.800813566296,14.5,-0.79,-1.13,0.45,1.32,0.79,0.33,1.32,0.39855,-0.78842,0.55871,1.932,0.17222,-0.57248,1.932,0.1366,-0.19908,0.018197,1.346,1.4653,1.1818,1.346,0.54745,-0.93315,-0.78705,1.0199,1.0021,0.85668,1.0199,1770.06,696.44
"26","ABAL","Late","AMN",48.73333333,6.316666667,270,"Temperate",2007,9,108,10.4369863013699,45,55,10,10,342.176912978755,13.67,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,271.8
"27","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2007,11,126,10.4800410972877,47,56,9,10,507.538720362633,14.63,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,282.2
"28","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2007,12,108,10.4800410972877,47,56,9,10,338.898405016918,13.67,1.9,2.19,2.38,1.71,1.89,2.26,1.71,-0.08882,1.5153,0.93487,-2.1288,1.2502,0.7893,-2.1288,-0.91231,0.38879,1.3172,0.574,0.30081,0.19291,0.574,0.55857,0.4516,1.1049,-0.28198,0.37494,0.97492,-0.28198,930,271.8
"29","ABAL","Late","AMA",48.746533,6.32,270,"Temperate",2006,8,116,10.5280821917808,76,117,41,45,182.819218618231,14.13,-2.74,-2.58,1.16,1.27,2.05,1.65,1.27,-1.5004,0.22958,1.6215,-0.78837,1.6217,-0.79038,-0.78837,-1.2567,-0.65184,0.39501,0.66264,1.4621,0.23395,0.66264,-1.4646,-1.1326,-0.46717,-0.4585,0.56916,0.33212,-0.4585,774,187.8
