"lat","site","year","spat","fu","photo","phen"
47.2,"KRU",2007,1.85080494084392,193.877260045387,13.79,112
47.2,"TIM",2007,4.60505297414413,194.330123531293,12.87,95
47.2,"TRE",2007,2.4111838153476,191.578779748504,14.84,134
38.88333333,"SSM",2014,4.60777179934295,258.398543279882,13.35,112
38.88333333,"SSM",2013,4.49064050638424,256.925550238854,13.47,115
38.9,"SSW",2014,0.68088446137355,257.81191282794,14.65,185
38.9,"SSW",2013,1.09260459834695,256.653548103427,14.39,144
38.5172,"MAI",2005,15.2628724753511,259.99264706269,10.09,31
38.5172,"MAI",2004,15.9743373615124,258.29388043754,9.97,28
39.15,"JAR",2005,14.4188520559313,255.611291972232,9.94,28
38.100583,"GUA",2005,19.7567637084555,281.530734837171,9.81,21
39.19,"JAN",2004,18.5066437761324,263.514795505934,9.67,20
39.9,"POL",2003,2.744315269261,255.735341281485,14.21,135
39.9,"POL",2004,3.21922533437954,249.501099217345,13.61,118
41.26,"TDR",2014,5.27502900570017,243.171264856753,13.3,108
41.26,"TDR",2013,4.557099475439,239.561910803296,12.96,100
41.26,"TDR",2012,4.90011980757051,248.57069562298,12.97,101
41.46,"VRN",2013,5.28355258358392,242.633661736697,12.69,94
41.46,"VRN",2014,5.73023446010034,244.718213677144,12.08,81
41.46,"VRN",2012,5.03582223501521,242.561915568233,12.75,96
23.18333333,"ZWY",2015,21.7077419755374,386.483370625773,10.92,28
23.18333333,"ZWY",2016,21.9438796637317,394.286378805407,10.84,23
23.18333333,"DHS",2015,23.2217814298812,392.744361060559,10.9,27
31.85,"JGS",2015,15.808105779046,339.199480207983,10.72,39
31.85,"JGS",2014,16.6809030197971,324.016165609123,10.36,25
24.4,"SMT",2015,22.9180825181542,389.657777772452,10.74,21
40.36,"TCH",2011,14.9315581047637,244.359199915125,10.2,38
40.36,"TCH",2012,15.0569272207673,246.729267788294,9.63,22
40.36,"TCH",2010,14.3400332757176,244.184310324141,9.99,32
40.36,"TCH",2013,14.2348408066962,249.344043258439,10.34,41
40.36,"TCH",2014,13.5675242897507,253.333225422029,9.84,28
36.98333333,"SHM",2016,10.3747622525212,273.89250683865,11.22,60
36.98333333,"SHM",2015,10.6856485632444,274.603852248034,11.43,65
41.79,"MYL",2012,11.406549476706,238.356695097213,10.31,43
41.79,"MYL",2011,11.4513835995638,235.875764104213,10.58,49
41.79,"MYH",2013,7.60063736589268,235.644536763396,11.53,69
41.79,"MYH",2011,8.64150091237512,233.677037662401,11.23,63
41.79,"MYH",2012,9.15760592594098,238.337189921608,10.94,57
49.15,"SOB",2014,11.1018854879144,172.482401252296,8.8,23
49.15,"SOB",2013,10.2926417038232,172.351133900733,9.51,37
67.5,"VAR",2009,-0.261087573039077,23.0168641385172,5.37,30
40.52,"VIL",2005,8.31938522972167,248.161200052726,11.59,70
37.03333333,"HSM",2013,5.31047356247512,279.075796489797,12.86,101
37.03333333,"HSM",2014,6.02608939318837,273.415681720543,12.43,90
